Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation a a result science,1.0000000000000002
4720,0,Multipliers,4765 explains the five type of people who inspire support and improve others in their organization showing you how to become one a well a avoid diminishers the people who drag down others and make it harder for them to perform work,0.16630009701148668
3603,0,Bullshit Jobs,3636 asserts that roughly two out of every five people are stuck in work that is bereft of purpose and these worker could suffer psychological damage a a result business,0.12999100622704685
4526,0,Loonshots,4567 explores the process of innovation specifically how groundbreaking idea emerge from simple thought and how important it is for organization to give course to them by creating learning environment where people feel safe exploring and creating work,0.11652532369937668
789,0,The Longevity Project,795 show you how you can live longer by analyzing the result from one of the world longestlasting study and drawing surprising conclusion about the work ethic happiness love marriage and religion of people who have lived to old age relationship,0.10882482091354592
1106,0,When Bad Things Happen To Good People,1117 explains why even the best of people sometimes suffer from adversity and how we can turn our pain into something meaningful instead of lamenting it happiness,0.10770052891238394
71,0,Breath,71 is a fascinating and helpful guide to understanding the science of breathing including how doing it slowly and through your nose is best for your lung and body and the many proven mental and physical benefit of being more mindful of how you inhale and exhale science,0.1056210456038671
125,0,The Sports Gene,125 is a look at how gene affect our ability motivation and endurance in sport explaining why some people are better suited for certain sport than others science,0.10369479164775665
3558,0,The Psychology Of Selling,3591 motivates you to work on your selfimage and how you relate to customer so that you can close more deal business,0.10221286305132898
112,0,Maybe You Should Talk To Someone,112 will help you feel more comfortable with using therapy to improve your mental health by giving a candid look into how therapy really work from the point of view of an experienced therapist who also found herself needing it science,0.10208900284770515
