Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation a a result science,1.0000002
3070,0,Designing Your Work Life,3098 is a helpful guidebook for anyone who want to create and maintain a work environment that is both happy and productive by working with what they already have rather than keep on changing job in hope of finding better management,0.7605373
4155,0,The Comfort Crisis,4192 address contemporary people who live a stressful life and talk about being comfortable with discomfort and reclaiming a happy healthy mindset by implementing a few odd but highly effective practice in their daily life communication,0.74260557
1445,0,The Book of Mistakes,1459 follows the adventure of david a young adult who is going through a rough patch and receives guidance from a wise man who teach him the nine mistake he should avoid how to become successful and a series of valuable life lesson that can save anyone many year of their life productivity,0.7218634
901,0,How to Raise an Adult,908 serf a a practical guide for all the parent who want to raise responsible and independent adult but often catch themselves falling into the trap of over protecting their child and actually inhibiting their natural evolution and the growing up process happiness,0.7207226
2761,0,Extreme Ownership,2786 contains useful leadership advice from two navy seal who learned to stay strong disciplined and levelheaded in highstakes combat scenario motivation,0.7147465
2799,0,12 Rules For Life,2824 is a storybased stern yet entertaining selfhelp manual for young people laying out a set of simple rule to help u become more disciplined behave better act with integrity and balance our life while enjoying them a much a we can motivation,0.70172775
1442,0,Love Warrior,1456 delf into the life of glennon doyle a woman who battled with selfdestructive behavior eating disorder depression and many more challenge before finally embracing the life she deserved and started living meaningfully while being true to herself productivity,0.69892246
3868,0,An Audience Of One,3904 is a practical and inspiring manual for creator who want to live from their art showing a simple purposedriven path to achieve that goal creativity,0.6988865
3260,0,Daily Rituals,3288 is a compilation of the best practice and habit of successful people from different field aimed to help anyone increase productivity get past writer block and become more creative and efficient in their everyday work health,0.6977108
