Match Index,Query Index,Book Name,Sentence,Similarity Score
0,0,The Highly Sensitive Person,0 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc,0.9999998
4915,0,Designing Your Work Life,4961 is a help guidebook for anyon who want to creat and maintain a work environ that is both happi and product by work with what they alreadi have rather than keep on chang job in hope of find better mind,0.7332671
2568,0,The Comfort Crisis,2589 address contemporari peopl who live a stress life and talk about be comfort with discomfort and reclaim a happi healthi mindset by implement a few odd but highli effect practic in their daili live motiv,0.7252354
1445,0,The Book of Mistakes,1459 follow the adventur of david a young adult who is go through a rough patch and receiv guidanc from a wise man who teach him the nine mistak he should avoid how to becom success and a seri of valuabl life lesson that can save anyon mani year of their life product,0.7246281
1442,0,Love Warrior,1456 delv into the life of glennon doyl a woman who battl with selfdestruct behavior eat disord depress and mani more challeng befor final embrac the life she deserv and start live meaning while be true to herself product,0.72330505
901,0,How to Raise an Adult,908 serv as a practic guid for all the parent who want to rais respons and independ adult but often catch themselv fall into the trap of over protect their children and actual inhibit their natur evolut and the grow up process happi,0.71826714
4908,0,Daily Rituals,4954 is a compil of the best practic and habit of success peopl from differ field aim to help anyon increas product get past writer block and becom more creativ and effici in their everyday work mind,0.7147316
1603,0,The Introvert’s Complete Career Guide,1620 will teach those who have a hard time talk to peopl how to gain confid in navig the workplac from job interview to offic relationship product,0.704986
1659,0,Extreme Ownership,1676 contain use leadership advic from two navi seal who learn to stay strong disciplin and levelhead in highstak combat scenario product,0.6988397
2751,0,Unlocking Potential,2776 is a guid that will help you as a leader make a differ in peopl live in the long run by learn how to coach peopl in a way that bring to light their greatest strength and capabl motiv,0.6965067
